epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2350.24,1.16554,1.15948,1.30225,0.61437,0.47209,0.50748,0.27663,1.6397,1.73883,1.71602,0.005743,0.005743,0.005743
45,2409.54,1.15452,1.13656,1.2942,0.56057,0.48805,0.49442,0.26248,1.62946,1.75903,1.70699,0.005644,0.005644,0.005644
46,2467.9,1.14752,1.09852,1.28982,0.612,0.46708,0.51807,0.27536,1.62484,1.71029,1.69244,0.005545,0.005545,0.005545
47,2527.46,1.12299,1.08597,1.27404,0.6017,0.47162,0.51043,0.28215,1.5782,1.69027,1.66664,0.005446,0.005446,0.005446
48,2586.94,1.11697,1.05983,1.26763,0.57283,0.49589,0.50891,0.27287,1.6269,1.74871,1.69853,0.005347,0.005347,0.005347
49,2646.81,1.1034,1.04176,1.25829,0.59827,0.51515,0.52698,0.29066,1.58777,1.66824,1.67913,0.005248,0.005248,0.005248
50,2706.78,1.11102,1.04666,1.26376,0.58415,0.50388,0.51517,0.27904,1.62884,1.71405,1.7042,0.005149,0.005149,0.005149
51,2766.98,1.09444,1.02202,1.25573,0.59545,0.47503,0.50071,0.27004,1.66084,1.74605,1.74518,0.00505,0.00505,0.00505
52,2827.12,1.08364,1.00974,1.24485,0.63576,0.46862,0.51877,0.27826,1.62087,1.68261,1.6955,0.004951,0.004951,0.004951
53,2887.77,1.07791,0.99908,1.23134,0.58933,0.48225,0.50392,0.26904,1.63298,1.73306,1.709,0.004852,0.004852,0.004852
54,2948.17,1.07438,0.98068,1.2281,0.58979,0.51274,0.5085,0.27487,1.60562,1.7119,1.68034,0.004753,0.004753,0.004753
55,3008.62,1.05668,0.96001,1.22759,0.60491,0.48519,0.50334,0.28335,1.62171,1.71026,1.69087,0.004654,0.004654,0.004654
56,3068.78,1.05111,0.94646,1.22074,0.61842,0.47905,0.50039,0.27694,1.60098,1.75729,1.68603,0.004555,0.004555,0.004555
57,3128.47,1.04103,0.91626,1.21691,0.64431,0.46812,0.51157,0.27956,1.61483,1.7308,1.69524,0.004456,0.004456,0.004456
58,3190.42,1.03623,0.92075,1.20732,0.6365,0.49173,0.52309,0.28979,1.60574,1.68032,1.67631,0.004357,0.004357,0.004357
59,3253.27,1.01328,0.89328,1.19317,0.60914,0.4902,0.50122,0.27367,1.64328,1.78131,1.74368,0.004258,0.004258,0.004258
60,3315.21,1.01318,0.8991,1.19483,0.61491,0.47948,0.51135,0.27368,1.61847,1.74878,1.70129,0.004159,0.004159,0.004159
61,3374.59,1.00589,0.87479,1.18786,0.60466,0.51661,0.53085,0.29542,1.59874,1.70066,1.68113,0.00406,0.00406,0.00406
62,3433.59,0.99968,0.86521,1.1862,0.62834,0.49626,0.52633,0.28476,1.62468,1.68654,1.72325,0.003961,0.003961,0.003961
63,3493.48,0.98369,0.85839,1.17552,0.60847,0.50699,0.52076,0.28453,1.64433,1.70401,1.71283,0.003862,0.003862,0.003862
64,3556.82,0.97739,0.82745,1.16382,0.59674,0.52846,0.54144,0.29394,1.61192,1.70649,1.69625,0.003763,0.003763,0.003763
65,3619.67,0.97076,0.81673,1.15526,0.62158,0.51491,0.53574,0.2933,1.60961,1.71329,1.69356,0.003664,0.003664,0.003664
66,3679.73,0.97007,0.81944,1.16888,0.63322,0.50269,0.53423,0.28808,1.63524,1.75957,1.72166,0.003565,0.003565,0.003565
67,3738.57,0.9577,0.80495,1.15759,0.63922,0.48353,0.52032,0.28818,1.63123,1.71318,1.70816,0.003466,0.003466,0.003466
68,3797.19,0.94073,0.78398,1.1497,0.65776,0.48391,0.52225,0.29257,1.62061,1.71412,1.72341,0.003367,0.003367,0.003367
69,3855.81,0.94594,0.77748,1.14632,0.60264,0.51554,0.52685,0.29228,1.61127,1.72177,1.71167,0.003268,0.003268,0.003268
70,3913.9,0.93713,0.77757,1.13956,0.66906,0.46718,0.52031,0.28713,1.62973,1.76063,1.7057,0.003169,0.003169,0.003169
71,3971.77,0.93015,0.75882,1.13261,0.61309,0.49517,0.52799,0.2893,1.63229,1.71116,1.74713,0.00307,0.00307,0.00307
72,4029.82,0.91257,0.75819,1.13456,0.61297,0.4896,0.51579,0.28457,1.65801,1.75906,1.75638,0.002971,0.002971,0.002971
73,4087.87,0.90697,0.73379,1.1213,0.65014,0.50103,0.53651,0.29794,1.62668,1.67275,1.72052,0.002872,0.002872,0.002872
74,4145.88,0.89597,0.71514,1.1145,0.61355,0.51397,0.54028,0.2895,1.66002,1.71873,1.77228,0.002773,0.002773,0.002773
75,4204.39,0.88932,0.71869,1.1125,0.60964,0.50949,0.53064,0.29743,1.63215,1.73139,1.74688,0.002674,0.002674,0.002674
76,4262.4,0.89415,0.7153,1.11176,0.64665,0.49832,0.53054,0.28944,1.66458,1.70882,1.75122,0.002575,0.002575,0.002575
77,4319.85,0.88081,0.70329,1.107,0.68012,0.48156,0.54254,0.29798,1.66193,1.73279,1.76753,0.002476,0.002476,0.002476
78,4377.32,0.87339,0.70968,1.10254,0.58022,0.52227,0.52502,0.28707,1.67271,1.78032,1.77401,0.002377,0.002377,0.002377
79,4431.85,0.85925,0.67923,1.09434,0.63376,0.49053,0.51915,0.2897,1.66287,1.72873,1.77417,0.002278,0.002278,0.002278
80,4486.6,0.86192,0.68172,1.09205,0.63207,0.50001,0.52642,0.28657,1.66171,1.7232,1.76804,0.002179,0.002179,0.002179
81,4542.97,0.84912,0.65601,1.08538,0.67381,0.46445,0.52304,0.28923,1.6754,1.74982,1.77479,0.00208,0.00208,0.00208
82,4602.66,0.84638,0.66736,1.08618,0.61655,0.51603,0.54184,0.29728,1.66598,1.72605,1.75963,0.001981,0.001981,0.001981
83,4663.32,0.83949,0.65779,1.07934,0.62628,0.52827,0.54939,0.30362,1.65305,1.696,1.76766,0.001882,0.001882,0.001882
84,4723.61,0.83285,0.64767,1.07924,0.65929,0.49961,0.54017,0.29671,1.67402,1.68939,1.7821,0.001783,0.001783,0.001783
85,4784.53,0.82384,0.65127,1.07451,0.66323,0.48514,0.53323,0.29391,1.65994,1.7297,1.79084,0.001684,0.001684,0.001684
86,4845.26,0.81999,0.64052,1.07006,0.66649,0.48964,0.53311,0.29023,1.67174,1.75536,1.78157,0.001585,0.001585,0.001585
87,4904.72,0.80898,0.63407,1.07207,0.65014,0.4927,0.52697,0.28717,1.68856,1.7469,1.82039,0.001486,0.001486,0.001486
88,4964.99,0.80447,0.62869,1.05919,0.63392,0.50862,0.53307,0.28933,1.67587,1.71341,1.8006,0.001387,0.001387,0.001387
89,5026.25,0.7938,0.60487,1.0542,0.65374,0.50279,0.53558,0.29061,1.67312,1.713,1.80052,0.001288,0.001288,0.001288
90,5086.38,0.78989,0.60505,1.05551,0.66142,0.51456,0.54503,0.30308,1.66415,1.6929,1.78924,0.001189,0.001189,0.001189
91,5175.28,0.72877,0.48696,1.00384,0.64185,0.49651,0.52041,0.28536,1.68381,1.70177,1.8062,0.00109,0.00109,0.00109
92,5234.12,0.68026,0.43664,0.97977,0.60787,0.5143,0.52481,0.29397,1.64973,1.72792,1.79087,0.000991,0.000991,0.000991
93,5293.56,0.68168,0.42194,0.98355,0.65068,0.49264,0.53096,0.2934,1.66725,1.74616,1.80346,0.000892,0.000892,0.000892
94,5353.04,0.66279,0.41076,0.9656,0.62332,0.51454,0.52599,0.29415,1.6532,1.74695,1.78752,0.000793,0.000793,0.000793
95,5412.16,0.65361,0.39698,0.96602,0.63753,0.5176,0.53608,0.30105,1.65249,1.76445,1.78536,0.000694,0.000694,0.000694
96,5471.52,0.65226,0.39454,0.96398,0.69091,0.48293,0.53378,0.29583,1.65518,1.77634,1.79404,0.000595,0.000595,0.000595
97,5530.94,0.63647,0.38483,0.95447,0.65619,0.50849,0.54165,0.30127,1.65303,1.77574,1.79529,0.000496,0.000496,0.000496
98,5589.81,0.64153,0.38503,0.95821,0.64961,0.52534,0.54208,0.30227,1.64797,1.74705,1.80019,0.000397,0.000397,0.000397
99,5644.6,0.62558,0.3777,0.94862,0.69293,0.49994,0.54354,0.30118,1.64464,1.76426,1.79273,0.000298,0.000298,0.000298
100,5699.02,0.62761,0.37633,0.95309,0.70912,0.48689,0.54472,0.30518,1.65369,1.77156,1.80206,0.000199,0.000199,0.000199
